,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBC,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",Mon Mar 26 19:03:02 +0000 2018,-0.6249,0.0,0.806,0.194,0
1,@BBC,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",Mon Mar 26 18:24:04 +0000 2018,0.7783,0.312,0.688,0.0,1
2,@BBC,?? It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,Mon Mar 26 17:30:04 +0000 2018,0.0,0.0,1.0,0.0,2
3,@BBC,"?? Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",Mon Mar 26 16:25:02 +0000 2018,0.5859,0.213,0.787,0.0,3
4,@BBC,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. ?

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",Mon Mar 26 15:45:04 +0000 2018,-0.3818,0.095,0.744,0.161,4
5,@BBC,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",Mon Mar 26 15:11:57 +0000 2018,0.0,0.0,1.0,0.0,5
6,@BBC,"Never let a squirrel nibble your nobble... ???
https://t.co/cHm9m6At3m",Mon Mar 26 12:58:02 +0000 2018,0.0,0.0,1.0,0.0,6
7,@BBC,Apple wants to introduce new emojis to better represent people with disabilities. ??? https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,Mon Mar 26 11:48:03 +0000 2018,0.4404,0.172,0.828,0.0,7
8,@BBC,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",Mon Mar 26 11:00:05 +0000 2018,-0.5106,0.0,0.837,0.163,8
9,@BBC,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",Mon Mar 26 10:00:07 +0000 2018,-0.128,0.0,0.93,0.07,9
10,@BBC,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,Mon Mar 26 09:35:06 +0000 2018,0.4588,0.136,0.864,0.0,10
11,@BBC,"? @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",Mon Mar 26 09:33:01 +0000 2018,0.3182,0.247,0.753,0.0,11
12,@BBC,"The kiwi bird's egg is so large, it takes almost ten days to lay! ???  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",Mon Mar 26 09:04:01 +0000 2018,0.0,0.0,1.0,0.0,12
13,@BBC,"?Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",Mon Mar 26 08:29:04 +0000 2018,0.5819,0.182,0.818,0.0,13
14,@BBC,"Wishing you could get out of bed just that little bit earlier? ?

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",Mon Mar 26 07:30:10 +0000 2018,0.2263,0.161,0.749,0.09,14
15,@BBC,"Could this be an answer to global water shortages? ?? This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",Sun Mar 25 19:44:01 +0000 2018,0.128,0.101,0.821,0.077,15
16,@BBC,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",Sun Mar 25 19:15:06 +0000 2018,-0.7506,0.0,0.714,0.286,16
17,@BBC,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",Sun Mar 25 18:40:04 +0000 2018,0.5719,0.163,0.837,0.0,17
18,@BBC,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ??… https://t.co/lFgROYVkv1,Sun Mar 25 18:13:03 +0000 2018,0.0,0.0,1.0,0.0,18
19,@BBC,"When you're enjoying being single and people just can't deal with it. ?? @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",Sun Mar 25 17:30:07 +0000 2018,0.5267,0.185,0.815,0.0,19
20,@BBC,"????? Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",Sun Mar 25 15:03:03 +0000 2018,0.4588,0.167,0.833,0.0,20
21,@BBC,"? We could listen to him speak all day. 

? Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",Sun Mar 25 14:30:02 +0000 2018,0.0,0.0,1.0,0.0,21
22,@BBC,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ????… https://t.co/uKD9BQWmUi",Sun Mar 25 14:09:03 +0000 2018,0.1779,0.091,0.909,0.0,22
23,@BBC,"??? @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",Sun Mar 25 13:03:04 +0000 2018,0.5574,0.184,0.816,0.0,23
24,@BBC,"Weighing just 100g, a newborn panda is one 900th the size of its mum! ?? #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",Sun Mar 25 12:03:02 +0000 2018,0.0,0.0,1.0,0.0,24
25,@BBC,?Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,Sun Mar 25 10:30:04 +0000 2018,0.0,0.0,1.0,0.0,25
26,@BBC,"Ever wondered what made you feel moody? It might be your gut.

? https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",Sun Mar 25 09:30:15 +0000 2018,-0.3612,0.0,0.839,0.161,26
27,@BBC,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",Sun Mar 25 08:43:31 +0000 2018,0.5719,0.236,0.764,0.0,27
28,@BBC,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",Sun Mar 25 08:43:26 +0000 2018,-0.4019,0.0,0.899,0.101,28
29,@BBC,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft ? https://t.co/YaE7fBZamq,Sun Mar 25 08:43:22 +0000 2018,0.0,0.0,1.0,0.0,29
30,@BBC,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,Sun Mar 25 08:00:12 +0000 2018,-0.25,0.104,0.743,0.153,30
31,@BBC,You learn something new every day. Here's how to poo a baby jaguar. ??#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,Sun Mar 25 07:34:02 +0000 2018,0.0,0.0,1.0,0.0,31
32,@BBC,When the clocks have gone forward but there's no way you're getting out of bed yet. ?????#DaylightSavings https://t.co/cHBPV3ITsQ,Sun Mar 25 07:02:00 +0000 2018,-0.4215,0.0,0.859,0.141,32
33,@BBC,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",Sat Mar 24 20:34:01 +0000 2018,-0.3818,0.0,0.885,0.115,33
34,@BBC,"The story of the last decade of Picasso's life, through the words of family and friends. ?

Picasso's Last Stand |… https://t.co/RyiuI8KgSk",Sat Mar 24 20:00:11 +0000 2018,0.4767,0.134,0.866,0.0,34
35,@BBC,"""Beauty is your inside, it's your personality and what shines from beneath."" 

25-year-old rapper Paigey Cakey had… https://t.co/CVGr69Y0oO",Sat Mar 24 19:16:04 +0000 2018,0.5859,0.183,0.817,0.0,35
36,@BBC,Cambridge have won the men's and women's Boat Races. https://t.co/COTzXYuo4N ? ? #BoatRace2018 https://t.co/6SQjF1ToSt,Sat Mar 24 18:44:04 +0000 2018,0.5719,0.252,0.748,0.0,36
37,@BBC,"?? @RomeshRanga is NOT a fan of Gogglebox. #LiveAtTheApollo
https://t.co/FHm9g6Emss",Sat Mar 24 18:02:01 +0000 2018,0.3182,0.223,0.777,0.0,37
38,@BBC,"When proposals go wrong... ?? #Doodlebugs 
https://t.co/8Yi6giWO3S",Sat Mar 24 17:01:01 +0000 2018,0.0,0.0,1.0,0.0,38
39,@BBC,"Writer Sara Maitland has lived alone in rural Scotland for 20 years. 

Here are seven valuable life lessons we can… https://t.co/2eAqUlnwuA",Sat Mar 24 15:30:10 +0000 2018,0.2732,0.129,0.788,0.083,39
40,@BBC,?How an Instagram video lost me my dream job in fashion: https://t.co/72yWgHdc1k https://t.co/fl3DxMcIL5,Sat Mar 24 15:00:06 +0000 2018,-0.0772,0.131,0.719,0.15,40
41,@BBC,? @clarebalding is live from the River Thames as @UniofOxford and @Cambridge_Uni  meet for one of the most iconic e… https://t.co/Ls9rtIYov4,Sat Mar 24 14:01:47 +0000 2018,0.0,0.0,1.0,0.0,41
42,@BBC,RT @bbcthree: The barber helping men with dementia relive their younger lives. https://t.co/p8axQVK836,Sat Mar 24 14:01:32 +0000 2018,0.296,0.155,0.845,0.0,42
43,@BBC,"Which animals are likely to become extinct in your lifetime? ??
https://t.co/9KwlmcNrWV",Sat Mar 24 13:03:01 +0000 2018,0.0,0.0,1.0,0.0,43
44,@BBC,"Don't miss the highlights from the Gymnastics World Cup! ???????

World Cup Gymnastics | @BBCOne | 2:05pm |… https://t.co/7mpufyeEMo",Sat Mar 24 12:33:04 +0000 2018,0.1867,0.098,0.902,0.0,44
